,Iteration,Total_Reward
1301,1301,122.0
1302,1302,152.0
1303,1303,133.0
1304,1304,129.0
1305,1305,122.0
1306,1306,135.0
1307,1307,120.0
1308,1308,130.0
1309,1309,135.0
1310,1310,110.0
1311,1311,117.0
1312,1312,145.0
1313,1313,137.0
1314,1314,115.0
1315,1315,123.0
1316,1316,148.0
1317,1317,120.0
1318,1318,121.0
1319,1319,149.0
1320,1320,123.0
1321,1321,118.0
1322,1322,124.0
1323,1323,166.0
1324,1324,147.0
1325,1325,125.0
1326,1326,139.0
1327,1327,152.0
1328,1328,134.0
1329,1329,171.0
1330,1330,132.0
1331,1331,188.0
1332,1332,155.0
1333,1333,189.0
1334,1334,134.0
1335,1335,134.0
1336,1336,147.0
1337,1337,142.0
1338,1338,180.0
1339,1339,154.0
1340,1340,141.0
1341,1341,129.0
1342,1342,142.0
1343,1343,122.0
1344,1344,128.0
1345,1345,168.0
1346,1346,159.0
1347,1347,126.0
1348,1348,127.0
1349,1349,163.0
1350,1350,171.0
1351,1351,142.0
1352,1352,129.0
1353,1353,175.0
1354,1354,142.0
1355,1355,153.0
1356,1356,162.0
1357,1357,132.0
1358,1358,196.0
1359,1359,158.0
1360,1360,194.0
1361,1361,164.0
1362,1362,156.0
1363,1363,200.0
1364,1364,155.0
1365,1365,167.0
1366,1366,193.0
1367,1367,200.0
1368,1368,200.0
1369,1369,200.0
1370,1370,200.0
1371,1371,200.0
1372,1372,200.0
1373,1373,200.0
1374,1374,200.0
1375,1375,200.0
1376,1376,200.0
1377,1377,200.0
1378,1378,200.0
1379,1379,200.0
1380,1380,200.0
1381,1381,200.0
1382,1382,200.0
1383,1383,200.0
1384,1384,200.0
1385,1385,200.0
1386,1386,200.0
1387,1387,200.0
1388,1388,200.0
1389,1389,200.0
1390,1390,200.0
1391,1391,200.0
1392,1392,200.0
1393,1393,200.0
1394,1394,200.0
1395,1395,200.0
1396,1396,200.0
1397,1397,200.0
1398,1398,200.0
1399,1399,200.0
1400,1400,200.0
1401,1401,200.0
1402,1402,200.0
1403,1403,200.0
1404,1404,200.0
1405,1405,200.0
1406,1406,200.0
1407,1407,200.0
1408,1408,200.0
1409,1409,200.0
1410,1410,200.0
1411,1411,200.0
1412,1412,200.0
1413,1413,200.0
1414,1414,200.0
1415,1415,200.0
1416,1416,200.0
1417,1417,200.0
1418,1418,200.0
1419,1419,200.0
1420,1420,200.0
1421,1421,200.0
1422,1422,200.0
1423,1423,200.0
1424,1424,200.0
1425,1425,200.0
1426,1426,200.0
1427,1427,200.0
1428,1428,200.0
1429,1429,200.0
1430,1430,200.0
1431,1431,200.0
1432,1432,200.0
1433,1433,200.0
1434,1434,200.0
1435,1435,200.0
1436,1436,200.0
1437,1437,200.0
1438,1438,200.0
1439,1439,200.0
1440,1440,200.0
1441,1441,200.0
1442,1442,200.0
1443,1443,200.0
1444,1444,200.0
1445,1445,200.0
1446,1446,200.0
1447,1447,200.0
1448,1448,200.0
1449,1449,200.0
1450,1450,200.0
1451,1451,200.0
1452,1452,200.0
1453,1453,200.0
1454,1454,200.0
1455,1455,200.0
1456,1456,200.0
1457,1457,200.0
1458,1458,200.0
1459,1459,200.0
1460,1460,200.0
1461,1461,200.0
1462,1462,200.0
1463,1463,200.0
1464,1464,200.0
1465,1465,200.0
1466,1466,200.0
1467,1467,200.0
1468,1468,200.0
1469,1469,200.0
1470,1470,200.0
1471,1471,200.0
1472,1472,200.0
1473,1473,200.0
1474,1474,200.0
1475,1475,200.0
1476,1476,200.0
1477,1477,200.0
1478,1478,200.0
1479,1479,200.0
1480,1480,200.0
1481,1481,200.0
1482,1482,200.0
1483,1483,200.0
1484,1484,200.0
1485,1485,200.0
1486,1486,200.0
1487,1487,200.0
1488,1488,200.0
1489,1489,200.0
1490,1490,200.0
1491,1491,200.0
1492,1492,200.0
1493,1493,200.0
1494,1494,200.0
1495,1495,200.0
1496,1496,200.0
1497,1497,200.0
1498,1498,200.0
1499,1499,200.0
1500,1500,200.0
1501,1501,200.0
1502,1502,200.0
1503,1503,200.0
1504,1504,200.0
1505,1505,200.0
1506,1506,200.0
1507,1507,200.0
1508,1508,200.0
1509,1509,200.0
1510,1510,200.0
1511,1511,200.0
1512,1512,200.0
1513,1513,200.0
1514,1514,195.0
1515,1515,200.0
1516,1516,195.0
1517,1517,169.0
1518,1518,159.0
1519,1519,161.0
1520,1520,152.0
1521,1521,172.0
1522,1522,152.0
1523,1523,144.0
1524,1524,153.0
1525,1525,166.0
1526,1526,139.0
1527,1527,153.0
1528,1528,174.0
1529,1529,170.0
1530,1530,161.0
1531,1531,169.0
1532,1532,155.0
1533,1533,157.0
1534,1534,144.0
1535,1535,148.0
1536,1536,154.0
1537,1537,144.0
1538,1538,161.0
1539,1539,143.0
1540,1540,125.0
1541,1541,122.0
1542,1542,143.0
1543,1543,139.0
1544,1544,123.0
1545,1545,123.0
1546,1546,137.0
1547,1547,128.0
1548,1548,139.0
1549,1549,142.0
1550,1550,143.0
1551,1551,133.0
1552,1552,145.0
1553,1553,122.0
1554,1554,135.0
1555,1555,121.0
1556,1556,113.0
1557,1557,125.0
1558,1558,120.0
1559,1559,129.0
1560,1560,146.0
1561,1561,134.0
1562,1562,124.0
1563,1563,132.0
1564,1564,127.0
1565,1565,125.0
1566,1566,133.0
1567,1567,149.0
1568,1568,140.0
1569,1569,145.0
1570,1570,161.0
1571,1571,145.0
1572,1572,160.0
1573,1573,179.0
1574,1574,160.0
1575,1575,170.0
1576,1576,177.0
1577,1577,184.0
1578,1578,183.0
1579,1579,200.0
1580,1580,183.0
1581,1581,178.0
1582,1582,187.0
1583,1583,158.0
1584,1584,150.0
1585,1585,169.0
1586,1586,141.0
1587,1587,165.0
1588,1588,143.0
